,type,features,nom,id,essonne,cpts,cpts_code,indicateur_1,indicateur_2,indicateur_3,indicateur_4
325,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.359384499675438, 48.6180677171706], [2.349942576141706, 48.620184434301926], [2.3553954970062794, 48.641227013024064], [2.362493724380748, 48.647957599547354], [2.3657728695874067, 48.646212051220296], [2.3914229563093214, 48.64319751872618], [2.3835294959957563, 48.62997897821704], [2.3715179750737683, 48.61770059029442], [2.359384499675438, 48.6180677171706]]]}, 'properties': {'code': '91235', 'nom': 'Fleury-Mérogis'}}",Fleury-Mérogis,91235,True,Val d Orge,10,2,6,1,3
326,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3368615376560897, 48.65030936920091], [2.3419524666358513, 48.66757213746646], [2.355465432354747, 48.67081219590897], [2.364966538758132, 48.65560764217624], [2.362493724380748, 48.647957599547354], [2.3553954970062794, 48.641227013024064], [2.3368615376560897, 48.65030936920091]]]}, 'properties': {'code': '91434', 'nom': 'Morsang-sur-Orge'}}",Morsang-sur-Orge,91434,True,Val d Orge,10,8,6,7,7
327,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.3368615376560897, 48.65030936920091], [2.3187420790731403, 48.66564274790134], [2.3381254324377627, 48.66737105034268], [2.3419524666358513, 48.66757213746646], [2.3368615376560897, 48.65030936920091]]]}, 'properties': {'code': '91667', 'nom': 'Villemoisson-sur-Orge'}}",Villemoisson-sur-Orge,91667,True,Val d Orge,10,6,3,3,6
838,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[1.9306279978488787, 48.45371826817908], [1.9556254941593396, 48.47264552301906], [1.96870059626075, 48.475845725391515], [1.966288691429414, 48.467283524952556], [1.9805227626989812, 48.453059651955535], [1.9717059423168806, 48.437085785325415], [1.942894677475592, 48.44099829339068], [1.9306279978488787, 48.45371826817908]]]}, 'properties': {'code': '91035', 'nom': 'Authon-la-Plaine'}}",Authon-la-Plaine,91035,True,PEPS,5,0,6,4,5
839,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.404570931636072, 48.53149435432243], [2.3744439389743723, 48.5454092767546], [2.390374937466352, 48.557222556612956], [2.402787720052907, 48.56319572830586], [2.425165694674527, 48.544468824842525], [2.404570931636072, 48.53149435432243]]]}, 'properties': {'code': '91244', 'nom': 'Fontenay-le-Vicomte'}}",Fontenay-le-Vicomte,91244,True,Val d Essonne et des 2 Vallées,9,4,2,2,1
840,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.235914963223853, 48.39729953046105], [2.2475678025107024, 48.38737830427704], [2.2446016148686923, 48.37946895290033], [2.2220834004275147, 48.368778556372085], [2.2096928767014825, 48.38370393829299], [2.2185158606941133, 48.394415030508405], [2.2328187527491314, 48.396532781871926], [2.235914963223853, 48.39729953046105]]]}, 'properties': {'code': '91248', 'nom': 'Forêt-Sainte-Croix'}}",Forêt-Sainte-Croix,91248,True,PEPS,5,1,0,6,9
1347,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.277011679352691, 48.67056911377162], [2.286128737565018, 48.68617636686202], [2.3051571383676315, 48.678310256676774], [2.30007159073682, 48.66959134757039], [2.291325489745317, 48.65757621796877], [2.2761226585839665, 48.66022836796182], [2.277011679352691, 48.67056911377162]]]}, 'properties': {'code': '91044', 'nom': 'Ballainvilliers'}}",Ballainvilliers,91044,True,Cur Santé Orge Yvette,2,4,5,4,2
1348,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1486514992464762, 48.48069083390285], [2.139086278179216, 48.48799906288406], [2.151481604729921, 48.50150199590093], [2.1784961537156975, 48.49583518551317], [2.17643140517264, 48.50492524993011], [2.1911026890911174, 48.51134145562897], [2.1822783664222345, 48.51805527308051], [2.1872987030165647, 48.51828762506542], [2.2034666907335163, 48.51655284725087], [2.2011958898485804, 48.50827901372795], [2.2166425405124763, 48.49930454605557], [2.1932176681688835, 48.480345189300074], [2.1891705506355565, 48.47518425809935], [2.161588619852922, 48.47472816792139], [2.1486514992464762, 48.48069083390285]]]}, 'properties': {'code': '91226', 'nom': 'Étréchy'}}",Étréchy,91226,True,Sud Hurepoix,8,6,7,9,7
1349,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.138656349758428, 48.66510716928048], [2.1326659405081494, 48.65538480334842], [2.1196361395077465, 48.65189801691856], [2.0971088502203936, 48.666292926329604], [2.091530504658352, 48.683314494587975], [2.0820789629661083, 48.68544592956703], [2.097852607663972, 48.69403069952937], [2.1121476732372453, 48.67396188637178], [2.1215918174232264, 48.68015755615423], [2.138656349758428, 48.66510716928048]]]}, 'properties': {'code': '91274', 'nom': 'Gometz-la-Ville'}}",Gometz-la-Ville,91274,True,Val d Yvette,12,0,5,1,4
1350,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.4070568156987586, 48.66741901766304], [2.3914229563093214, 48.64319751872618], [2.3657728695874067, 48.646212051220296], [2.3795536208266777, 48.663159342254346], [2.3963395410812343, 48.67353575082403], [2.4070568156987586, 48.66741901766304]]]}, 'properties': {'code': '91286', 'nom': 'Grigny'}}",Grigny,91286,True,Centre Essonne,0,4,1,7,6
